algorithm,group_type,group,strict_correct,strict_total,strict_rank1_percent,matcher_correct,matcher_total,matcher_rank1_percent,no_face,unusable
ltp,transform,crop_90,2,28,7.142857142857143,2,28,7.142857142857143,0,0
ltp,transform,flip_lr,1,28,3.5714285714285716,1,28,3.5714285714285716,0,0
ltp,transform,gaussnoise_12,1,28,3.5714285714285716,1,27,3.7037037037037037,1,0
ltp,transform,gaussnoise_4,6,28,21.428571428571427,6,28,21.428571428571427,0,0
ltp,transform,gaussnoise_8,3,28,10.714285714285714,3,28,10.714285714285714,0,0
ltp,transform,histeq,5,28,17.857142857142858,5,28,17.857142857142858,0,0
ltp,transform,jpeg_q30,2,28,7.142857142857143,2,28,7.142857142857143,0,0
ltp,transform,jpeg_q60,2,28,7.142857142857143,2,28,7.142857142857143,0,0
ltp,transform,jpeg_q80,2,28,7.142857142857143,2,28,7.142857142857143,0,0
ltp,transform,monochrome,3,28,10.714285714285714,3,26,11.538461538461538,2,0
ltp,transform,persp_10,1,28,3.5714285714285716,1,28,3.5714285714285716,0,0
ltp,transform,persp_4,2,28,7.142857142857143,2,28,7.142857142857143,0,0
ltp,transform,persp_6,2,28,7.142857142857143,2,28,7.142857142857143,0,0
ltp,transform,rgb565,4,28,14.285714285714286,4,28,14.285714285714286,0,0
ltp,transform,rot_10,3,28,10.714285714285714,3,28,10.714285714285714,0,0
ltp,transform,rot_180,1,28,3.5714285714285716,1,27,3.7037037037037037,1,0
ltp,transform,rot_25,1,28,3.5714285714285716,1,27,3.7037037037037037,1,0
ltp,transform,rot_270,1,28,3.5714285714285716,1,16,6.25,12,0
ltp,transform,rot_45,1,28,3.5714285714285716,1,18,5.555555555555555,10,0
ltp,transform,rot_90,1,28,3.5714285714285716,1,12,8.333333333333334,16,0
ltp,transform,scale_50,1,28,3.5714285714285716,1,20,5.0,8,0
ltp,transform,scale_70,1,28,3.5714285714285716,1,28,3.5714285714285716,0,0
ltp,transform,scale_90,2,28,7.142857142857143,2,28,7.142857142857143,0,0
